year,Average Mean Surface Air Temperature (°C)
1950,26.19
1951,26.4
1952,26.21
1953,26.11
1954,26.27
1955,26.09
1956,25.78
1957,26.42
1958,26.64
1959,26.67
1960,26.64
1961,26.44
1962,26.1
1963,26.07
1964,26.48
1965,26.33
1966,26.44
1967,26.01
1968,26.51
1969,26.79
1970,26.69
1971,25.86
1972,26.45
1973,26.74
1974,26.25
1975,26.18
1976,26.18
1977,26.83
1978,26.79
1979,27.16
1980,27.12
1981,26.85
1982,26.64
1983,27.08
1984,26.72
1985,26.73
1986,26.67
1987,27.31
1988,27.08
1989,26.9
1990,27.26
1991,27.25
1992,27.02
1993,26.65
1994,26.94
1995,27.16
1996,26.87
1997,27.2
1998,28.01
1999,26.54
2000,27
2001,27.41
2002,27.79
2003,27.58
2004,27.49
2005,27.43
2006,27.5
2007,27.21
2008,26.95
2009,27.04
2010,27.98
2011,27.2
2012,27.88
2013,27.57
2014,27.56
2015,28.1
2016,28.13
2017,27.59
2018,27.76
2019,28.09
2020,27.74
2021,27.31
2022,27.32
2023,27.74
2024,28.31
