No,MRC_Code,Station_Na,Province,Latitude,Longitude,Parameter,year,No_of_year
1,130316,Pranet Preah,Banteay Meanchey,13.6184,103.1798,PH,Not found,0
2,130308,Phnom Srok,Banteay Meanchey,13.7489,103.3502,PH,1999-2001,3
3,120303,Maung Russey,Battambang,12.7738,103.4408,PH,82-2007,26
4,130406,Tbeng (Sdau),Battambang,12.8998,102.9737,PH,1981-2007,27
5,130319,Thmar Kol,Battambang,13.266,103.0342,PH,84-2001,24
6,130208,Bovel,Battambang,13.254,102.8735,PH,"87-91,02-03,06-07",8
7,110526,Chroy Thmar,Kampong Cham,11.9039,105.4665,PH,1983-2007,0
8,120410,Baribor,Kampong Chhnang,12.449,104.4667,PH,86-91.93-07,18
9,120401,Kampong Chhnang,Kampong Chhnang,12.2317,104.6727,PH,82-2007,26
10,120415,Kampong Leang,Kampong Chhnang,12.2942,104.7282,PH,84-2007,24
11,120417,Ponley,Kampong Chhnang,12.4402,104.475,PH,Not found,0
12,110430,Samaki Meanchey,Kampong Chhnang,11.8791,104.6159,PH,"85-2003,06-07",22
13,120420,Tuk Phos,Kampong Chhnang,12.0518,104.5322,PH,1990-07,16
14,110429,Boeng Leach,Kampong Chhnang,11.8955,104.6843,PH,84-2007,0
15,120418,Pong Ro,Kampong Chhnang,12.2763,104.5888,PH,2000-07,8
16,110431,Baset,Kampong Speu,11.1492,104.5341,PH,"1987-94,00-07",15
17,110404,Kampong Speu,Kampong Speu,11.4587,104.5151,PH,1982-07,26
18,110419,Kraing Ampil,Kampong Speu,11.3761,104.5224,PH,00-07,8
19,110433,Oral,Kampong Speu,11.6894,104.1341,PH,00-07,8
20,640103,Peam Kley,Kampong Speu,11.4722,104.3652,PH,2001-07,7
21,110436,Prey Dop,Kampong Speu,11.2234,104.5527,PH,00-07,8
22,110416,Sre Khlong,Kampong Speu,11.3286,104.2869,PH,00-07,8
23,110445,Trapeang Chor,Kampong Speu,11.8191,104.1333,PH,00-07,8
24,120423,Kampong Thmar (Stung Chinit),Kampong Thom,12.5023,105.1483,PH,2000-2007,8
25,120425,Prey Prous,Kampong Thom,12.7924,104.824,PH,2000-2007,8
26,130505,Sandan,Kampong Thom,13.0971,105.2539,PH,2000-2007,8
27,120402,Staung,Kampong Thom,12.9457,104.5674,PH,"87-94,2000-07",15
28,120517,Taing Kok,Kampong Thom,12.249,105.1333,PH,"87-91,2000-2007",12
29,120518,Taing Krasaing,Kampong Thom,12.5679,105.0608,PH,"88-94,2000-2007",14
30,120516,Prasat Sambo,Kampong Thom,12.8874,105.0726,PH,2000-2007,8
31,120424,Kondal Chrass,Kampong Thom,12.9779,104.7107,PH,2000-2008,8
32,100416,Bonteay Meas,Kampot,10.6687,104.8963,PH,2002-2007,6
33,110439,Prek Anchang,Kandal,11.7519,104.956,PH,2002-2007,6
34,0,Prek Dach,Kandal,11.122,104.3463,PH,2002-2007,6
